,Unnamed: 0,age,annualincome,calldroprate,callfailurerate,callingnum,customerid,customersuspended,education,gender,homeowner,maritalstatus,monthlybilledamount,numberofcomplaints,numberofmonthunpaid,numdayscontractequipmentplanexpiring,occupation,penaltytoswitch,state,totalminsusedinlastmonth,unpaidbalance,usesinternetservice,usesvoiceservice,percentagecalloutsidenetwork,totalcallduration,avgcallduration
0,0,12,168147,0.06,0.0,4251078442,1,Yes,Bachelor or equivalent,Male,Yes,Single,71,0,7,96,Technology Related Job,371,WA,15,19,No,No,0.82,5971,663
1,1,12,168147,0.06,0.0,4251078442,1,Yes,Bachelor or equivalent,Male,Yes,Single,71,0,7,96,Technology Related Job,371,WA,15,19,No,No,0.82,3981,995
2,2,42,29047,0.05,0.01,4251043419,2,Yes,Bachelor or equivalent,Female,Yes,Single,8,1,4,14,Technology Related Job,43,WI,212,34,No,Yes,0.27,7379,737
3,3,42,29047,0.05,0.01,4251043419,2,Yes,Bachelor or equivalent,Female,Yes,Single,8,1,4,14,Technology Related Job,43,WI,212,34,No,Yes,0.27,1729,432
4,4,58,27076,0.07,0.02,4251055773,3,Yes,Master or equivalent,Female,Yes,Single,16,0,2,55,Technology Related Job,403,KS,216,144,No,No,0.48,3122,624
5,5,58,27076,0.07,0.02,4251055773,3,Yes,Master or equivalent,Female,Yes,Single,16,0,2,55,Technology Related Job,403,KS,216,144,No,No,0.48,2769,553
6,6,20,137977,0.05,0.03,4251042488,4,Yes,PhD or equivalent,Male,No,Single,74,1,7,73,Technology Related Job,76,KY,412,159,Yes,No,0.94,834,834
7,7,20,137977,0.05,0.03,4251042488,4,Yes,PhD or equivalent,Male,No,Single,74,1,7,73,Technology Related Job,76,KY,412,159,Yes,No,0.94,5868,838
8,8,36,136006,0.07,0.0,4251073177,5,Yes,High School or below,Male,Yes,Married,81,0,5,14,Technology Related Job,436,ND,416,19,No,No,0.15,1886,628
9,9,36,136006,0.07,0.0,4251073177,5,Yes,High School or below,Male,Yes,Married,81,0,5,14,Technology Related Job,436,ND,416,19,No,No,0.15,2602,867
10,10,67,246906,0.05,0.01,4251023523,6,Yes,High School or below,Female,Yes,Married,19,1,2,32,Technology Related Job,108,OK,113,34,No,No,0.61,2737,391
11,11,67,246906,0.05,0.01,4251023523,6,Yes,High School or below,Female,Yes,Married,19,1,2,32,Technology Related Job,108,OK,113,34,No,No,0.61,5845,835
12,12,14,244935,0.07,0.02,4251055777,7,Yes,High School or below,Male,Yes,Single,27,3,0,73,Technology Related Job,468,AZ,116,144,No,No,0.82,3342,557
13,13,14,244935,0.07,0.02,4251055777,7,Yes,High School or below,Male,Yes,Single,27,3,0,73,Technology Related Job,468,AZ,116,144,No,No,0.82,2428,809
14,14,45,105835,0.05,0.03,4251045184,8,Yes,High School or below,Female,Yes,Married,85,1,5,91,Technology Related Job,141,CA,313,159,No,No,0.27,2446,815
15,15,45,105835,0.05,0.03,4251045184,8,Yes,High School or below,Female,Yes,Married,85,1,5,91,Technology Related Job,141,CA,313,159,No,No,0.27,4882,813
16,16,61,103864,0.07,0.0,4251031912,9,Yes,Bachelor or equivalent,Female,Yes,Single,92,3,3,32,Technology Related Job,1,MI,316,19,No,No,0.48,2065,516
17,17,61,103864,0.07,0.0,4251031912,9,Yes,Bachelor or equivalent,Female,Yes,Single,92,3,3,32,Technology Related Job,1,MI,316,19,No,No,0.48,2802,560
18,18,61,103864,0.07,0.0,4251031912,9,Yes,Bachelor or equivalent,Female,Yes,Single,92,3,3,32,Technology Related Job,1,MI,316,19,No,No,0.48,268,268
19,19,23,214765,0.06,0.01,4251042084,10,Yes,Bachelor or equivalent,Male,Yes,Single,30,0,0,50,Technology Related Job,173,MN,13,34,No,No,0.94,3022,755
20,20,23,214765,0.06,0.01,4251042084,10,Yes,Bachelor or equivalent,Male,Yes,Single,30,0,0,50,Technology Related Job,173,MN,13,34,No,No,0.94,3076,615
21,21,23,214765,0.06,0.01,4251042084,10,Yes,Bachelor or equivalent,Male,Yes,Single,30,0,0,50,Technology Related Job,173,MN,13,34,No,No,0.94,626,626
22,22,39,212794,0.0,0.02,4251079715,11,Yes,Master or equivalent,Female,Yes,Married,37,3,6,91,Technology Related Job,34,SC,17,144,No,Yes,0.15,3968,661
23,23,39,212794,0.0,0.02,4251079715,11,Yes,Master or equivalent,Female,Yes,Married,37,3,6,91,Technology Related Job,34,SC,17,144,No,Yes,0.15,3685,737
24,24,69,73694,0.06,0.03,4251022028,12,Yes,Master or equivalent,Male,No,Married,95,0,4,9,Technology Related Job,206,TN,214,159,No,No,0.61,1392,696
25,25,69,73694,0.06,0.03,4251022028,12,Yes,Master or equivalent,Male,No,Married,95,0,4,9,Technology Related Job,206,TN,214,159,No,No,0.61,1456,485
26,26,69,73694,0.06,0.03,4251022028,12,Yes,Master or equivalent,Male,No,Married,95,0,4,9,Technology Related Job,206,TN,214,159,No,No,0.61,378,378
27,27,17,71723,0.0,0.0,4251047310,13,Yes,High School or below,Male,No,Married,103,3,1,50,Technology Related Job,66,FL,217,19,No,No,0.82,6780,968
28,28,17,71723,0.0,0.0,4251047310,13,Yes,High School or below,Male,No,Married,103,3,1,50,Technology Related Job,66,FL,217,19,No,No,0.82,2277,1138
29,29,48,182623,0.06,0.01,4251072591,14,Yes,High School or below,Female,Yes,Married,41,0,7,68,Technology Related Job,239,HI,414,34,No,No,0.27,3877,775
30,30,48,182623,0.06,0.01,4251072591,14,Yes,High School or below,Female,Yes,Married,41,0,7,68,Technology Related Job,239,HI,414,34,No,No,0.27,2675,1337
31,31,64,180652,0.0,0.02,4251060013,15,Yes,High School or below,Female,Yes,Single,48,2,4,8,Technology Related Job,99,NV,417,144,No,No,0.48,3624,604
32,32,64,180652,0.0,0.02,4251060013,15,Yes,High School or below,Female,Yes,Single,48,2,4,8,Technology Related Job,99,NV,417,144,No,No,0.48,825,412
33,33,26,41553,0.06,0.03,4251042322,16,Yes,High School or below,Male,Yes,Single,106,0,2,27,Technology Related Job,271,NH,114,159,No,No,0.94,3595,599
34,34,26,41553,0.06,0.03,4251042322,16,Yes,High School or below,Male,Yes,Single,106,0,2,27,Technology Related Job,271,NH,114,159,No,No,0.94,1890,472
35,35,26,41553,0.06,0.03,4251042322,16,Yes,High School or below,Male,Yes,Single,106,0,2,27,Technology Related Job,271,NH,114,159,No,No,0.94,1248,1248
36,36,42,39582,0.0,0.0,4251011152,17,Yes,Bachelor or equivalent,Female,Yes,Married,114,2,7,67,Technology Related Job,131,VA,118,19,No,No,0.15,3716,929
37,37,42,39582,0.0,0.0,4251011152,17,Yes,Bachelor or equivalent,Female,Yes,Married,114,2,7,67,Technology Related Job,131,VA,118,19,No,No,0.15,3966,661
38,38,72,150482,0.07,0.01,4251051704,18,Yes,Bachelor or equivalent,Male,No,Single,52,3,5,86,Non-technology Related Job,304,WV,315,34,No,No,0.61,3646,607
39,39,72,150482,0.07,0.01,4251051704,18,Yes,Bachelor or equivalent,Male,No,Single,52,3,5,86,Non-technology Related Job,304,WV,315,34,No,No,0.61,4605,767
40,40,20,148511,0.01,0.02,4251070591,19,Yes,Master or equivalent,Male,Yes,Married,59,2,2,26,Technology Related Job,164,IA,318,144,No,No,0.82,6031,861
41,41,20,148511,0.01,0.02,4251070591,19,Yes,Master or equivalent,Male,Yes,Married,59,2,2,26,Technology Related Job,164,IA,318,144,No,No,0.82,3828,765
42,42,50,9412,0.07,0.03,4251047771,20,Yes,Master or equivalent,Female,Yes,Married,117,3,0,45,Non-technology Related Job,336,KY,15,159,No,No,0.28,1922,961
43,43,50,9412,0.07,0.03,4251047771,20,Yes,Master or equivalent,Female,Yes,Married,117,3,0,45,Non-technology Related Job,336,KY,15,159,No,No,0.28,2659,886
