,age,annualincome,calldroprate,callfailurerate,callingnum,customerid,customersuspended,education,gender,homeowner,maritalstatus,monthlybilledamount,noadditionallines,numberofcomplaints,numberofmonthunpaid,numdayscontractequipmentplanexpiring,occupation,penaltytoswitch,state,totalminsusedinlastmonth,unpaidbalance,usesinternetservice,usesvoiceservice,percentagecalloutsidenetwork,totalcallduration,avgcallduration,churn,year,month
0,12,168147,0.06,0.0,4251078442,1,Yes,Bachelor or equivalent,Male,Yes,Single,71,\N,0,7,96,Technology Related Job,371,WA,15,19,No,No,0.82,5971,663,0,2015,1
1,12,168147,0.06,0.0,4251078442,1,Yes,Bachelor or equivalent,Male,Yes,Single,71,\N,0,7,96,Technology Related Job,371,WA,15,19,No,No,0.82,3981,995,0,2015,2
2,42,29047,0.05,0.01,4251043419,2,Yes,Bachelor or equivalent,Female,Yes,Single,8,\N,1,4,14,Technology Related Job,43,WI,212,34,No,Yes,0.27,7379,737,0,2015,1
3,42,29047,0.05,0.01,4251043419,2,Yes,Bachelor or equivalent,Female,Yes,Single,8,\N,1,4,14,Technology Related Job,43,WI,212,34,No,Yes,0.27,1729,432,0,2015,2
4,58,27076,0.07,0.02,4251055773,3,Yes,Master or equivalent,Female,Yes,Single,16,\N,0,2,55,Technology Related Job,403,KS,216,144,No,No,0.48,3122,624,0,2015,1
5,58,27076,0.07,0.02,4251055773,3,Yes,Master or equivalent,Female,Yes,Single,16,\N,0,2,55,Technology Related Job,403,KS,216,144,No,No,0.48,2769,553,0,2015,2
6,20,137977,0.05,0.03,4251042488,4,Yes,PhD or equivalent,Male,No,Single,74,\N,1,7,73,Technology Related Job,76,KY,412,159,Yes,No,0.94,834,834,0,2015,1
7,20,137977,0.05,0.03,4251042488,4,Yes,PhD or equivalent,Male,No,Single,74,\N,1,7,73,Technology Related Job,76,KY,412,159,Yes,No,0.94,5868,838,0,2015,2
8,36,136006,0.07,0.0,4251073177,5,Yes,High School or below,Male,Yes,Married,81,\N,0,5,14,Technology Related Job,436,ND,416,19,No,No,0.15,1886,628,0,2015,1
9,36,136006,0.07,0.0,4251073177,5,Yes,High School or below,Male,Yes,Married,81,\N,0,5,14,Technology Related Job,436,ND,416,19,No,No,0.15,2602,867,0,2015,2
10,67,246906,0.05,0.01,4251023523,6,Yes,High School or below,Female,Yes,Married,19,\N,1,2,32,Technology Related Job,108,OK,113,34,No,No,0.61,2737,391,0,2015,1
11,67,246906,0.05,0.01,4251023523,6,Yes,High School or below,Female,Yes,Married,19,\N,1,2,32,Technology Related Job,108,OK,113,34,No,No,0.61,5845,835,0,2015,2
12,14,244935,0.07,0.02,4251055777,7,Yes,High School or below,Male,Yes,Single,27,\N,3,0,73,Technology Related Job,468,AZ,116,144,No,No,0.82,3342,557,0,2015,1
13,14,244935,0.07,0.02,4251055777,7,Yes,High School or below,Male,Yes,Single,27,\N,3,0,73,Technology Related Job,468,AZ,116,144,No,No,0.82,2428,809,0,2015,2
14,45,105835,0.05,0.03,4251045184,8,Yes,High School or below,Female,Yes,Married,85,\N,1,5,91,Technology Related Job,141,CA,313,159,No,No,0.27,2446,815,0,2015,1
15,45,105835,0.05,0.03,4251045184,8,Yes,High School or below,Female,Yes,Married,85,\N,1,5,91,Technology Related Job,141,CA,313,159,No,No,0.27,4882,813,0,2015,2
16,61,103864,0.07,0.0,4251031912,9,Yes,Bachelor or equivalent,Female,Yes,Single,92,\N,3,3,32,Technology Related Job,1,MI,316,19,No,No,0.48,2065,516,0,2015,1
17,61,103864,0.07,0.0,4251031912,9,Yes,Bachelor or equivalent,Female,Yes,Single,92,\N,3,3,32,Technology Related Job,1,MI,316,19,No,No,0.48,2802,560,0,2015,2
18,61,103864,0.07,0.0,4251031912,9,Yes,Bachelor or equivalent,Female,Yes,Single,92,\N,3,3,32,Technology Related Job,1,MI,316,19,No,No,0.48,268,268,0,2015,3
19,23,214765,0.06,0.01,4251042084,10,Yes,Bachelor or equivalent,Male,Yes,Single,30,\N,0,0,50,Technology Related Job,173,MN,13,34,No,No,0.94,3022,755,1,2015,1
20,23,214765,0.06,0.01,4251042084,10,Yes,Bachelor or equivalent,Male,Yes,Single,30,\N,0,0,50,Technology Related Job,173,MN,13,34,No,No,0.94,3076,615,1,2015,2
21,23,214765,0.06,0.01,4251042084,10,Yes,Bachelor or equivalent,Male,Yes,Single,30,\N,0,0,50,Technology Related Job,173,MN,13,34,No,No,0.94,626,626,1,2015,3
22,39,212794,0.0,0.02,4251079715,11,Yes,Master or equivalent,Female,Yes,Married,37,\N,3,6,91,Technology Related Job,34,SC,17,144,No,Yes,0.15,3968,661,0,2015,1
23,39,212794,0.0,0.02,4251079715,11,Yes,Master or equivalent,Female,Yes,Married,37,\N,3,6,91,Technology Related Job,34,SC,17,144,No,Yes,0.15,3685,737,0,2015,2
24,69,73694,0.06,0.03,4251022028,12,Yes,Master or equivalent,Male,No,Married,95,\N,0,4,9,Technology Related Job,206,TN,214,159,No,No,0.61,1392,696,0,2015,1
25,69,73694,0.06,0.03,4251022028,12,Yes,Master or equivalent,Male,No,Married,95,\N,0,4,9,Technology Related Job,206,TN,214,159,No,No,0.61,1456,485,0,2015,2
26,69,73694,0.06,0.03,4251022028,12,Yes,Master or equivalent,Male,No,Married,95,\N,0,4,9,Technology Related Job,206,TN,214,159,No,No,0.61,378,378,0,2015,3
27,17,71723,0.0,0.0,4251047310,13,Yes,High School or below,Male,No,Married,103,\N,3,1,50,Technology Related Job,66,FL,217,19,No,No,0.82,6780,968,0,2015,1
28,17,71723,0.0,0.0,4251047310,13,Yes,High School or below,Male,No,Married,103,\N,3,1,50,Technology Related Job,66,FL,217,19,No,No,0.82,2277,1138,0,2015,2
29,48,182623,0.06,0.01,4251072591,14,Yes,High School or below,Female,Yes,Married,41,\N,0,7,68,Technology Related Job,239,HI,414,34,No,No,0.27,3877,775,0,2015,1
30,48,182623,0.06,0.01,4251072591,14,Yes,High School or below,Female,Yes,Married,41,\N,0,7,68,Technology Related Job,239,HI,414,34,No,No,0.27,2675,1337,0,2015,2
31,64,180652,0.0,0.02,4251060013,15,Yes,High School or below,Female,Yes,Single,48,\N,2,4,8,Technology Related Job,99,NV,417,144,No,No,0.48,3624,604,0,2015,1
32,64,180652,0.0,0.02,4251060013,15,Yes,High School or below,Female,Yes,Single,48,\N,2,4,8,Technology Related Job,99,NV,417,144,No,No,0.48,825,412,0,2015,2
33,26,41553,0.06,0.03,4251042322,16,Yes,High School or below,Male,Yes,Single,106,\N,0,2,27,Technology Related Job,271,NH,114,159,No,No,0.94,3595,599,0,2015,1
34,26,41553,0.06,0.03,4251042322,16,Yes,High School or below,Male,Yes,Single,106,\N,0,2,27,Technology Related Job,271,NH,114,159,No,No,0.94,1890,472,0,2015,2
35,26,41553,0.06,0.03,4251042322,16,Yes,High School or below,Male,Yes,Single,106,\N,0,2,27,Technology Related Job,271,NH,114,159,No,No,0.94,1248,1248,0,2015,3
36,42,39582,0.0,0.0,4251011152,17,Yes,Bachelor or equivalent,Female,Yes,Married,114,\N,2,7,67,Technology Related Job,131,VA,118,19,No,No,0.15,3716,929,0,2015,1
37,42,39582,0.0,0.0,4251011152,17,Yes,Bachelor or equivalent,Female,Yes,Married,114,\N,2,7,67,Technology Related Job,131,VA,118,19,No,No,0.15,3966,661,0,2015,2
38,72,150482,0.07,0.01,4251051704,18,Yes,Bachelor or equivalent,Male,No,Single,52,\N,3,5,86,Non-technology Related Job,304,WV,315,34,No,No,0.61,3646,607,0,2015,1
39,72,150482,0.07,0.01,4251051704,18,Yes,Bachelor or equivalent,Male,No,Single,52,\N,3,5,86,Non-technology Related Job,304,WV,315,34,No,No,0.61,4605,767,0,2015,2
40,20,148511,0.01,0.02,4251070591,19,Yes,Master or equivalent,Male,Yes,Married,59,\N,2,2,26,Technology Related Job,164,IA,318,144,No,No,0.82,6031,861,0,2015,1
41,20,148511,0.01,0.02,4251070591,19,Yes,Master or equivalent,Male,Yes,Married,59,\N,2,2,26,Technology Related Job,164,IA,318,144,No,No,0.82,3828,765,0,2015,2
42,50,9412,0.07,0.03,4251047771,20,Yes,Master or equivalent,Female,Yes,Married,117,\N,3,0,45,Non-technology Related Job,336,KY,15,159,No,No,0.28,1922,961,0,2015,1
43,50,9412,0.07,0.03,4251047771,20,Yes,Master or equivalent,Female,Yes,Married,117,\N,3,0,45,Non-technology Related Job,336,KY,15,159,No,No,0.28,2659,886,0,2015,2
44,66,7441,0.01,0.0,4251079003,21,Yes,High School or below,Female,Yes,Single,4,\N,1,5,85,Technology Related Job,196,ND,18,19,No,No,0.49,4680,936,0,2015,1
45,66,7441,0.01,0.0,4251079003,21,Yes,High School or below,Female,Yes,Single,4,\N,1,5,85,Technology Related Job,196,ND,18,19,No,No,0.49,2918,729,0,2015,2
46,29,118341,0.07,0.01,4251043431,22,Yes,High School or below,Male,Yes,Single,62,\N,3,3,4,Non-technology Related Job,369,OH,215,34,No,No,0.94,4746,527,0,2015,1
47,29,118341,0.07,0.01,4251043431,22,Yes,High School or below,Male,Yes,Single,62,\N,3,3,4,Non-technology Related Job,369,OH,215,34,No,No,0.94,5287,881,0,2015,2
48,29,118341,0.07,0.01,4251043431,22,Yes,High School or below,Male,Yes,Single,62,\N,3,3,4,Non-technology Related Job,369,OH,215,34,No,No,0.94,995,497,0,2015,3
49,45,116370,0.01,0.02,4251010033,23,Yes,High School or below,Female,Yes,Single,70,\N,1,0,44,Technology Related Job,229,AK,219,144,No,No,0.15,1175,587,0,2015,1
50,45,116370,0.01,0.02,4251010033,23,Yes,High School or below,Female,Yes,Single,70,\N,1,0,44,Technology Related Job,229,AK,219,144,No,No,0.15,5389,598,0,2015,2
51,75,227270,0.07,0.03,4251016886,24,Yes,High School or below,Male,Yes,Single,8,\N,2,6,63,Non-technology Related Job,401,AR,416,159,No,Yes,0.61,4992,998,0,2015,1
52,75,227270,0.07,0.03,4251016886,24,Yes,High School or below,Male,Yes,Single,8,\N,2,6,63,Non-technology Related Job,401,AR,416,159,No,Yes,0.61,4041,505,0,2015,2
53,23,225299,0.01,0.0,4251045842,25,Yes,Bachelor or equivalent,Male,Yes,Married,15,\N,1,3,3,Technology Related Job,261,MA,419,19,No,No,0.82,3219,643,0,2015,1
54,23,225299,0.01,0.0,4251045842,25,Yes,Bachelor or equivalent,Male,Yes,Married,15,\N,1,3,3,Technology Related Job,261,MA,419,19,No,No,0.82,3228,645,0,2015,2
55,53,86200,0.0,0.0,4251043061,26,Yes,Bachelor or equivalent,Female,Yes,Married,73,\N,2,1,22,Non-technology Related Job,434,MN,116,34,No,No,0.28,5926,592,0,2015,1
56,53,86200,0.0,0.0,4251043061,26,Yes,Bachelor or equivalent,Female,Yes,Married,73,\N,2,1,22,Non-technology Related Job,434,MN,116,34,No,No,0.28,1875,625,0,2015,2
57,69,84229,0.02,0.02,4251098247,27,Yes,Bachelor or equivalent,Female,No,Single,81,\N,1,6,62,Technology Related Job,294,SC,119,144,No,No,0.49,7748,704,0,2015,1
58,69,84229,0.02,0.02,4251098247,27,Yes,Bachelor or equivalent,Female,No,Single,81,\N,1,6,62,Technology Related Job,294,SC,119,144,No,No,0.49,6669,833,0,2015,2
59,69,84229,0.02,0.02,4251098247,27,Yes,Bachelor or equivalent,Female,No,Single,81,\N,1,6,62,Technology Related Job,294,SC,119,144,No,No,0.49,405,405,0,2015,3
60,31,195129,0.0,0.02,4251026170,28,Yes,Master or equivalent,Male,Yes,Married,18,\N,2,4,81,Non-technology Related Job,466,SD,316,159,No,No,0.94,7215,721,0,2015,1
61,31,195129,0.0,0.02,4251026170,28,Yes,Master or equivalent,Male,Yes,Married,18,\N,2,4,81,Non-technology Related Job,466,SD,316,159,No,No,0.94,1614,807,0,2015,2
62,47,193158,0.02,0.0,4251011887,29,Yes,High School or below,Female,Yes,Single,26,\N,0,1,21,Technology Related Job,327,DE,320,19,Yes,No,0.15,6115,611,0,2015,1
63,47,193158,0.02,0.0,4251011887,29,Yes,High School or below,Female,Yes,Single,26,\N,0,1,21,Technology Related Job,327,DE,320,19,Yes,No,0.15,2102,420,0,2015,2
64,78,54058,0.0,0.0,4251017032,30,Yes,High School or below,Male,Yes,Single,84,\N,2,7,39,Non-technology Related Job,499,GA,16,34,No,No,0.61,4933,704,0,2015,1
65,78,54058,0.0,0.0,4251017032,30,Yes,High School or below,Male,Yes,Single,84,\N,2,7,39,Non-technology Related Job,499,GA,16,34,No,No,0.61,6507,813,0,2015,2
66,26,52087,0.02,0.02,4251029808,31,Yes,High School or below,Male,Yes,Married,91,\N,0,5,80,Technology Related Job,359,NE,20,144,No,No,0.82,2707,541,0,2015,1
67,26,52087,0.02,0.02,4251029808,31,Yes,High School or below,Male,Yes,Married,91,\N,0,5,80,Technology Related Job,359,NE,20,144,No,No,0.82,5199,742,0,2015,2
68,26,52087,0.02,0.02,4251029808,31,Yes,High School or below,Male,Yes,Married,91,\N,0,5,80,Technology Related Job,359,NE,20,144,No,No,0.82,270,270,0,2015,3
69,56,162988,0.0,0.02,4251040357,32,Yes,High School or below,Female,No,Married,29,\N,1,2,98,Non-technology Related Job,32,NH,217,159,No,No,0.28,3978,795,0,2015,1
70,56,162988,0.0,0.02,4251040357,32,Yes,High School or below,Female,No,Married,29,\N,1,2,98,Non-technology Related Job,32,NH,217,159,No,No,0.28,3795,759,0,2015,2
71,72,161017,0.02,0.0,4251093174,33,Yes,High School or below,Female,Yes,Married,37,\N,0,0,39,Technology Related Job,392,VA,220,19,No,Yes,0.49,1596,399,0,2015,1
72,72,161017,0.02,0.0,4251093174,33,Yes,High School or below,Female,Yes,Married,37,\N,0,0,39,Technology Related Job,392,VA,220,19,No,Yes,0.49,7474,1067,0,2015,2
